tick,year,cpi,inflation_yoy,gdp_nominal,gdp_real,consumption,investment,gov_spend,gini,households,price_01,price_02,price_03,price_04,price_05,price_06,price_07,price_08,price_09,price_10,price_11,price_12
93,7.75,1.26514,3.71,116663460.55,92213636.0,23116019.92,87066552.1,6480888.53,0.40437,1071,1.29568,1.22353,1.12389,1.43455,1.15114,1.45861,1.17207,1.17908,1.03524,1.16049,1.29347,1.09876
94,7.833,1.26763,3.71,117221540.84,92473140.81,23105541.2,87628630.22,6487369.42,0.40437,1071,1.29814,1.22598,1.12614,1.43742,1.15344,1.46123,1.17441,1.18144,1.03731,1.16281,1.29606,1.10096
95,7.917,1.27012,3.71,117782664.05,92733669.38,23094951.66,88193855.59,6493856.79,0.40437,1071,1.30061,1.22843,1.12839,1.4403,1.15575,1.46386,1.17676,1.1838,1.03939,1.16514,1.29865,1.10316
96,8.0,1.27261,3.71,118346841.41,92995220.83,23084250.89,88762239.87,6500350.65,0.40437,1071,1.30308,1.23088,1.13065,1.44318,1.15806,1.4665,1.17912,1.18617,1.04147,1.16747,1.30125,1.10536
97,8.083,1.28383,3.083,154908880.57,120661091.74,28706673.17,118017618.75,8184588.65,0.40833,1082,1.30013,1.22922,1.12976,1.44666,1.17094,1.40833,1.3126,1.18847,1.00979,1.16768,1.26807,1.00877
98,8.167,1.28636,3.083,155644062.08,120995965.32,28692523.71,118758765.12,8192773.24,0.40833,1082,1.3026,1.23168,1.13202,1.44955,1.17328,1.41087,1.31523,1.19084,1.0118,1.17002,1.27061,1.01079
99,8.25,1.28889,3.083,156383000.77,121331975.79,28678232.08,119503802.68,8200966.02,0.40833,1082,1.30508,1.23414,1.13428,1.45245,1.17562,1.41341,1.31786,1.19323,1.01383,1.17236,1.27315,1.01281
100,8.333,1.29142,3.083,157125706.82,121669119.54,28663797.75,120252742.09,8209166.98,0.40833,1082,1.30756,1.23661,1.13655,1.45536,1.17798,1.41595,1.3205,1.19561,1.01586,1.17471,1.27569,1.01484
101,8.417,1.29396,3.083,157872190.25,122007392.87,28649220.18,121005593.92,8217376.15,0.40833,1082,1.31004,1.23908,1.13882,1.45827,1.18033,1.4185,1.32314,1.198,1.01789,1.17705,1.27825,1.01687
102,8.5,1.2965,3.083,158622460.98,122346791.95,28634498.86,121762368.59,8225593.52,0.40833,1082,1.31253,1.24156,1.1411,1.46118,1.18269,1.42105,1.32578,1.2004,1.01992,1.17941,1.2808,1.0189
103,8.583,1.29905,3.084,159376528.78,122687312.87,28619633.25,122523076.41,8233819.12,0.40833,1082,1.31502,1.24404,1.14338,1.46411,1.18506,1.42361,1.32843,1.2028,1.02196,1.18177,1.28336,1.02094
104,8.667,1.3016,3.084,160134403.32,123028951.59,28604622.83,123287727.55,8242052.94,0.40833,1082,1.31752,1.24653,1.14567,1.46704,1.18743,1.42617,1.33109,1.20521,1.02401,1.18413,1.28593,1.02298
105,8.75,1.30416,3.084,160896094.1,123371703.99,28589467.05,124056332.06,8250294.99,0.40833,1082,1.32002,1.24902,1.14796,1.46997,1.1898,1.42874,1.33375,1.20762,1.02606,1.1865,1.2885,1.02503
106,8.833,1.30672,3.084,161661610.52,123715565.8,28574165.39,124828899.84,8258545.29,0.40833,1082,1.32253,1.25152,1.15026,1.47291,1.19218,1.43131,1.33642,1.21003,1.02811,1.18887,1.29108,1.02708
107,8.917,1.30929,3.084,162430961.81,124060532.68,28558717.31,125605440.67,8266803.83,0.40833,1082,1.32505,1.25403,1.15256,1.47586,1.19457,1.43389,1.33909,1.21245,1.03016,1.19125,1.29366,1.02913
108,9.0,1.31186,3.084,163204157.06,124406600.14,28543122.26,126385964.17,8275070.63,0.40833,1082,1.32756,1.25653,1.15486,1.47881,1.19696,1.43647,1.34177,1.21488,1.03222,1.19363,1.29625,1.03119
109,9.083,1.31152,2.156,229545220.22,175022251.28,38083620.72,180283430.86,11178168.64,0.41108,1093,1.31631,1.26863,1.15593,1.44276,1.19968,1.43882,1.38274,1.22572,1.11075,1.19602,1.23599,1.03076
110,9.167,1.3141,2.156,230634454.73,175507845.43,38061747.41,181383360.51,11189346.81,0.41108,1093,1.31881,1.27117,1.15825,1.44565,1.20208,1.44141,1.38551,1.22818,1.11297,1.19841,1.23847,1.03282
111,9.25,1.31668,2.157,231728861.27,175994788.71,38039673.11,182488652.01,11200536.15,0.41108,1093,1.32131,1.27371,1.16056,1.44854,1.20448,1.44401,1.38828,1.23063,1.1152,1.20081,1.24094,1.03489
112,9.333,1.31927,2.157,232828447.51,176483072.07,38017397.07,183599313.76,11211736.69,0.41108,1093,1.32382,1.27626,1.16288,1.45143,1.20689,1.44661,1.39105,1.23309,1.11743,1.20321,1.24342,1.03696
113,9.417,1.32186,2.157,233933220.82,176972686.23,37994918.55,184715353.85,11222948.43,0.41108,1093,1.32634,1.27881,1.16521,1.45434,1.2093,1.44921,1.39384,1.23556,1.11966,1.20562,1.24591,1.03903
114,9.5,1.32446,2.157,235043188.31,177463621.75,37972236.81,185836780.12,11234171.38,0.41108,1093,1.32886,1.28137,1.16754,1.45725,1.21172,1.45182,1.39662,1.23803,1.1219,1.20803,1.2484,1.04111
115,9.583,1.32706,2.157,236158356.75,177955868.99,37949351.12,186963600.09,11245405.55,0.41108,1093,1.33138,1.28393,1.16988,1.46016,1.21415,1.45443,1.39942,1.24051,1.12415,1.21044,1.2509,1.04319
116,9.667,1.32967,2.157,237278732.66,178449418.09,37926260.72,188095820.99,11256650.95,0.41108,1093,1.33391,1.2865,1.17222,1.46308,1.21657,1.45705,1.40222,1.24299,1.12639,1.21286,1.2534,1.04528
117,9.75,1.33228,2.157,238404322.23,178944259.03,37902964.86,189233449.76,11267907.6,0.41108,1093,1.33645,1.28907,1.17456,1.46601,1.21901,1.45967,1.40502,1.24547,1.12865,1.21529,1.25591,1.04737
118,9.833,1.3349,2.157,239535131.33,179440381.56,37879462.8,190376493.02,11279175.51,0.41108,1093,1.33899,1.29165,1.17691,1.46894,1.22144,1.4623,1.40783,1.24796,1.1309,1.21772,1.25842,1.04946
119,9.917,1.33752,2.157,240671165.55,179937775.22,37855753.79,191524957.07,11290454.69,0.41108,1093,1.34153,1.29424,1.17926,1.47188,1.22389,1.46493,1.41065,1.25046,1.13317,1.22016,1.26094,1.05156
120,10.0,1.34015,2.157,241812430.12,180436429.37,37831837.06,192678847.91,11301745.14,0.41108,1093,1.34408,1.29682,1.18162,1.47482,1.22634,1.46757,1.41347,1.25296,1.13543,1.2226,1.26346,1.05366
